TIPO;PAIS;REGION;CIUDAD;CATEGORIA;NOMBRE;XML URL;HTML URL
 Medios;Argentina ;Buenos Aires;;Deportes;26 Noticias;http://www.26noticias.com.ar/xml/26noticias_deportes_rss.xml;www.26noticias.com.ar
 Medios;Argentina ;Buenos Aires;;Econom°a;26 Noticias;http://www.26noticias.com.ar/xml/26noticias_economia_rss.xml;www.26noticias.com.ar
 Medios;Argentina ;Buenos Aires;;Espect†culos y Cultura;26 Noticias;http://www.26noticias.com.ar/xml/26noticias_espectaculos_rss.xml;www.26noticias.com.ar
 Medios;Argentina ;Buenos Aires;Arrecifes;No Categorizado;Arrecifes Hoy;http://www.arrecifeshoy.com/?feed=rss2;www.arrecifeshoy.com
 Medios;Argentina ;Buenos Aires;;Internacionales;26 Noticias;http://www.26noticias.com.ar/xml/26noticias_internacionales_rss.xml;www.26noticias.com.ar
 Medios;Argentina ;Buenos Aires;;Sociales;26 Noticias;http://www.26noticias.com.ar/xml/26noticias_policiales_rss.xml;www.26noticias.com.ar
 Medios;Argentina ;Buenos Aires;;Pol°tica;26 Noticias;http://www.26noticias.com.ar/xml/26noticias_politica_rss.xml;www.26noticias.com.ar
 Medios;Argentina ;Buenos Aires;;Deportes;442;http://442.perfil.com/feed/;www.442.perfil.com
 Medios;Argentina ;Buenos Aires;;Nacionales;Ambito;http://www.ambito.com/rss/noticias.asp?S=Ambito%20Nacional;www.ambito.com
 Medios;Argentina ;Buenos Aires;;Econom°a;Ambito;http://www.ambito.com/rss/noticias.asp?S=Campo;www.ambito.com
 Medios;Argentina ;Buenos Aires;;Econom°a;Ambito;http://www.ambito.com/rss/noticias.asp?S=Econom°a;www.ambito.com
 Medios;Argentina ;Buenos Aires;;Deportes;Ambito;http://www.ambito.com/rss/noticias.asp?S=Deportes;www.ambito.com
 Medios;Argentina ;Buenos Aires;;Espect†culos y Cultura;Ambito;http://www.ambito.com/rss/noticias.asp?S=Espect%C3%A1culos;www.ambito.com
 Medios;Argentina ;Buenos Aires;;Internacionales;Ambito;http://www.ambito.com/rss/noticias.asp?S=Internacionales;www.ambito.com
 Medios;Argentina ;Buenos Aires;;Pol°tica;Ambito;http://www.ambito.com/rss/noticias.asp?S=Pol%C3%ADtica;www.ambito.com
 Medios;Argentina ;Buenos Aires;;Sociales;Ambito;http://www.ambito.com/rss/noticias.asp?S=Salud;www.ambito.com
 Medios;Argentina ;Buenos Aires;;Tecnolog°a & Ciencia;Ambito;http://www.ambito.com/rss/noticias.asp?S=Tecnologia;www.ambito.com
 Medios;Argentina ;Buenos Aires;;Econom°a;Apertura;http://www.apertura.com/adjuntos/29/rss/ultimasnoticias.xml;www.apertura.com
 Medios;Argentina ;Buenos Aires;;Espect†culos y Cultura;Asterisco;http://www.elargentino.com/Highlights.aspx?ParentType=Section&ParentId=127&Content-Type=text/xml&ChannelDesc=Asterisco;www.elargentino.com
 Medios;Argentina ;Buenos Aires;Arrecifes;No Categorizado;P†gina Local;http://www.pagina-local.com.ar/?feed=rss2;www.pagina-local.com.ar
 Medios;Argentina ;Buenos Aires;Azul;No Categorizado;Agua y Aceite;http://www.aguayaceite.com.ar/?feed=rss2;www.aguayaceite.com.ar
 Medios;Argentina ;Buenos Aires;Azul;No Categorizado;Diario El Tiempo;http://www.diarioeltiempo.com.ar/diario2009/index.php?format=feed&type=rss;www.diarioeltiempo.com.ar
 Medios;Argentina ;Buenos Aires;Azul;No Categorizado;Diario Pregon;http://www.diariopregonazul.com.ar/feeds/posts/default;www.diariopregonazul.com.ar
 Medios;Argentina ;Buenos Aires;Azul;No Categorizado;El diario de Azul;http://www.eldiariodeazul.com.ar/?feed=rss2;www.eldiariodeazul.com.ar
 Medios;Argentina ;Buenos Aires;Bah°a Blanca;No Categorizado;Bahianoticias.com;http://bahianoticias.com/feed/;www.bahianoticias.com
 Medios;Argentina ;Buenos Aires;Bah°a Blanca;No Categorizado;LA Nueva Provincia;http://www.lanueva.com/rss/502bdeaec9/LaCiudad.html;www.lanueva.com
 Medios;Argentina ;Buenos Aires;Bragado;No Categorizado;La Ciudad Hoy;http://www.laciudadhoy.com/?feed=rss2;www.laciudadhoy.com
 Medios;Argentina ;Buenos Aires;Bah°a Blanca;Nacionales;LA Nueva Provincia;http://www.lanueva.com/rss/1f90806b27/ElPais.html;www.lanueva.com
 Medios;Argentina ;Buenos Aires;Bah°a Blanca;Internacionales;LA Nueva Provincia;http://www.lanueva.com/rss/2454efa525/ElMundo.html;www.lanueva.com
 Medios;Argentina ;Buenos Aires;Bragado;No Categorizado;BRAGADO INFORMA;http://www.bragadoinforma.com.ar/backend.php;www.bragadoinforma.com.ar
 Medios;Argentina ;Buenos Aires;Chacabuco;No Categorizado;EL SITIO DE CHACABUCO;http://www.elsitiodechacabuco.com.ar/index.php?format=feed&type=rss;www.elsitiodechacabuco.com.ar
